1,691,204121_at,,GADD45G Chr:9q22.1-q22.2
2,3028,229400_at,,HOXD10 Chr:2q31.1
3,3597,238847_at,,--- ---
4,1134,206858_s_at,,HOXC6 Chr:12q13.3
5,1410,209905_at,,HOXA9 Chr:7p15-p14
6,1853,214651_s_at,,HOXA9 Chr:7p15-p14
7,742,204362_at,,SCAP2 Chr:7p21-p15
8,2535,225639_at,,SCAP2 Chr:7p21-p15
9,1764,213844_at,,HOXA5 Chr:7p15-p14
10,1672,213150_at,,HOXA10 Chr:7p15-p14
11,2646,226582_at,,--- Chr:12q13.13
12,108,1557051_s_at,,--- ---
13,2930,228642_at,,--- ---
14,3415,235521_at,,HOXA3 Chr:7p15-p14
15,3433,235753_at,,--- ---
16,3617,239153_at,,--- Chr:12q13.13
17,2918,228564_at,,LOC375295 Chr:2q31.2
18,970,205522_at,,HOXD4 Chr:2q31.1
19,3264,231906_at,,HOXD8 Chr:2q31.1
20,3827,244521_at,,--- ---
