index,geneDescription,pos,geneId,cluster
1,CD99 Chr:xp22.32; yp11.3,243,201028_s_at,G2
2,FER1L3 Chr:10q24,331,201798_s_at,G2
3,IF Chr:4q25,632,203854_at,G2
4,DPYD Chr:1p22,802,204646_at,G2
5,SERPING1 Chr:11q12-q13.1,239,200986_at,G2
6,ANXA2 Chr:15q21-q22,1466,210427_x_at,G2
7,ANXA2 Chr:15q21-q22,303,201590_x_at,G2
8,ANXA2 Chr:15q21-q22,1723,213503_x_at,G2
9,ANXA2P1 Chr:4q21-q31,1243,208816_x_at,G2
10,VIM Chr:10p13,291,201426_s_at,G2
11,C1S Chr:12p13,1238,208747_s_at,G2
12,C1R Chr:12p13,1569,212067_s_at,G2
13,ELK3 Chr:12q23,2264,221773_at,G2
14,PROS1 Chr:3q11.2,1190,207808_s_at,G2
15,SHC1 Chr:1q21,1874,214853_s_at,G2
16,C1RL Chr:12p13.31,2082,218983_at,G2
17,CLIC1 Chr:6p22.1-p21.2,1234,208659_at,G2
18,FGG Chr:4q28,2653,226621_at,G2
19,--- ---,2864,228141_at,G2
1,MELK Chr:9p13.1,848,204825_at,G6
2,KNTC2 Chr:18p11.31,704,204162_at,G6
3,KIAA0101 Chr:15q22.1,429,202503_s_at,G6
4,RRM2 Chr:2p25-p24,1383,209773_s_at,G6
5,RRM2 Chr:2p25-p24,344,201890_at,G6
6,NUSAP1 Chr:15q14,2003,218039_at,G6
7,FKSG14 Chr:5p15.2-q12.3,2334,222848_at,G6
8,HCAP-G Chr:4p16-p15,2040,218662_s_at,G6
9,BUB1B Chr:15q15,617,203755_at,G6
10,CCNB1 Chr:5q12,1858,214710_s_at,G6
1,DNALI1 Chr:1p35.1,905,205186_at,G5
11,ZWINT Chr:10q21-q22,669,204026_s_at,G6
12,CDC2 Chr:10q21.1,532,203213_at,G6
13,ASK Chr:7q21.3,720,204244_s_at,G6
14,STK6 Chr:20q13.2-q13.3,1204,208079_s_at,G6
15,TOP2A Chr:17q21-q22,277,201292_at,G6
16,TPX2 Chr:20q11.2,1429,210052_s_at,G6
17,TOP2A Chr:17q21-q22,276,201291_s_at,G6
18,CCNB2 Chr:15q21.3,459,202705_at,G6
19,KIF20A Chr:5q31,2052,218755_at,G6
20,EZH2 Chr:7q35-q36,553,203358_s_at,G6
2,FLJ23129 Chr:1p31.3,42,1554140_at,G5
3,LOC128153 Chr:1q41,3187,230763_at,G5
4,FLJ23129 Chr:1p31.3,3075,229816_at,G5
5,LOC128344 Chr:1p13.2,2857,228100_at,G5
6,DKFZP434H0115 Chr:17q21.31,2423,223924_at,G5
7,AAT1 Chr:3q12-q13.3,50,1554528_at,G5
8,MAK Chr:6q22,2203,220302_at,G5
9,FLJ32783 Chr:Xp11.23,3450,235946_at,G5
10,KIAA1505 Chr:7p12.3,2724,227091_at,G5
11,MGC20470 Chr:11p15.4,3217,231077_at,G5
1,GREM1 Chr:15q13-q15,2023,218469_at,G4
21,DLG7 Chr:14q22.2,618,203764_at,G6
22,TOPK Chr:8p21.2,2094,219148_at,G6
23,CDC20 Chr:1p34.1,486,202870_s_at,G6
24,FLJ11029 Chr:17q23.2,2878,228273_at,G6
25,HCAP-G Chr:4p16-p15,2041,218663_at,G6
26,ECT2 Chr:3q26.1-q26.2,2169,219787_s_at,G6
27,CCNB1 Chr:5q12,2941,228729_at,G6
28,PTTG1 Chr:5q35.1,584,203554_x_at,G6
29,PIR51 Chr:12p13.2-p13.1,697,204146_at,G6
12,FLJ23598 Chr:11p11.2,2208,220390_at,G5
13,FLJ22843 Chr:xp11.4,2216,220591_s_at,G5
14,SPA17 Chr:11q24.2,945,205406_s_at,G5
15,LOC136288 Chr:7p12.3,125,1557636_a_at,G5
16,AAT1 Chr:3q12-q13.3,3470,236222_at,G5
17,CAPS Chr:19p13.3,3249,231729_s_at,G5
18,FLJ40873 Chr:1p31.3,32,1553635_s_at,G5
19,DKFZP586M1120 Chr:17p11.2,1208,208140_s_at,G5
20,NYD-SP29 Chr:1p22.3,3774,243087_at,G5
21,ZMYND10 Chr:3p21.3,1007,205714_s_at,G5
2,CAPN3 Chr:15q15.1-q21.1,1552,211890_x_at,G4
3,CAPN3 Chr:15q15.1-q21.1,1496,210944_s_at,G4
4,CAPN3 Chr:15q15.1-q21.1,1843,214475_x_at,G4
5,MOG Chr:6p22-p21.3,1551,211836_s_at,G4
6,FLJ11155 Chr:4q32.1,2926,228624_at,G4
7,KLK6 Chr:19q13.3,829,204733_at,G4
8,FLJ11155 Chr:4q32.1,2164,219750_at,G4
9,FLJ11155 Chr:4q32.1,1981,217613_at,G4
10,C20orf35 Chr:20q13.12,2006,218094_s_at,G4
11,MOG Chr:6p22-p21.3,1040,205989_s_at,G4
1,COL1A2 Chr:7q22.1,410,202404_s_at,G7
1,SART2 Chr:6q22,2063,218854_at,G8
30,KIF4A Chr:xq13.1,2019,218355_at,G6
31,CENPA Chr:2p24-p21,868,204962_s_at,G6
32,KLIP1 Chr:4q35.1,2069,218883_s_at,G6
33,PRC1 Chr:15q26.1,2002,218009_s_at,G6
34,CDC2 Chr:10q21.1,1475,210559_s_at,G6
35,CENPF Chr:1q32-q41,1192,207828_s_at,G6
36,BUB1 Chr:2q14,1362,209642_at,G6
37,ATAD2 Chr:8q24.13,2324,222740_at,G6
22,PF6 Chr:1p12,3340,233516_s_at,G5
23,DNAH9 Chr:17p12,3677,240857_at,G5
24,LOC129881 Chr:2q31.1,3518,236909_at,G5
25,MGC35194 Chr:1p36.21,3241,231549_at,G5
26,LOC165186 Chr:2p23.3,3508,236717_at,G5
27,FLJ25333 Chr:5q15,3659,240065_at,G5
28,AKAP28 Chr:xq25,3533,237281_at,G5
29,C10orf79 Chr:10q25.1,3218,231084_at,G5
30,MDH1B Chr:2q34,131,1558077_s_at,G5
12,CNDP1 Chr:18q22.3,2413,223699_at,G4
2,COL1A1 Chr:17q21.3-q22.1,96,1556499_s_at,G7
3,--- ---,1511,211161_s_at,G7
4,COL3A1 Chr:2q31,1892,215076_s_at,G7
5,COL5A2 Chr:2q14-q32,2259,221730_at,G7
6,COL1A2 Chr:7q22.1,409,202403_s_at,G7
7,LAMB1 Chr:7q22,299,201505_at,G7
8,COL3A1 Chr:2q31,338,201852_x_at,G7
9,COL5A2 Chr:2q14-q32,2258,221729_at,G7
10,LUM Chr:12q21.3-q22,325,201744_s_at,G7
2,FCGR2A Chr:1q23,586,203561_at,G8
3,KYNU Chr:2q22.3,1971,217388_s_at,G8
4,CD14 Chr:5q31.1,324,201743_at,G8
5,--- ---,1519,211429_s_at,G8
6,IFI30 Chr:19p13.1,290,201422_at,G8
7,LY96 Chr:8q13.3,1114,206584_at,G8
8,CSTA Chr:3q21,871,204971_at,G8
9,MS4A4A Chr:11q12,2145,219607_s_at,G8
10,VAMP8 Chr:2p12-p11.2,435,202546_at,G8
11,MS4A6A Chr:11q12.1,2369,223280_x_at,G8
38,CDCA1 Chr:1q23.2,2377,223381_at,G6
39,KNSL7 Chr:3p21.32,2116,219306_at,G6
40,PMSCL1 Chr:4q27,1681,213226_at,G6
41,ASPM Chr:1q31,2178,219918_s_at,G6
42,SGOL2 Chr:2q33.2,3118,230165_at,G6
43,KIF11 Chr:10q24.1,759,204444_at,G6
44,CENPE Chr:4q24-q25,886,205046_at,G6
45,MAD2L1 Chr:4q27,554,203362_s_at,G6
31,TTC18 Chr:10q22.3,2997,229169_at,G5
32,FLJ40427 Chr:3p21.2,3798,243802_at,G5
33,CASC1 Chr:12p12.1,2197,220168_at,G5
34,LOC146845 Chr:17p13.1,3653,239916_at,G5
35,DNAI2 Chr:17q25,2218,220636_at,G5
36,--- ---,3684,241310_at,G5
37,KIAA0266 Chr:13q12.2-q13.3,3527,237168_at,G5
38,DNCL2B Chr:16q23.3,3561,238116_at,G5
39,--- Chr:5q22.1,3647,239776_at,G5
13,--- ---,172,1562608_at,G4
14,MGC17299 Chr:1p34.1,2561,225822_at,G4
15,C11orf9 Chr:11q12-q13.1,684,204073_s_at,G4
16,CLCA4 Chr:1p31-p22,2188,220026_at,G4
17,MBP Chr:18q23,1167,207323_s_at,G4
18,BCAS1 Chr:20q13.2-q13.3,746,204378_at,G4
19,MBP Chr:18q23,1269,209072_at,G4
20,MOG Chr:6p22-p21.3,75,1555807_a_at,G4
21,LDB3 Chr:10q22.3-q23.2,1700,213371_at,G4
22,PNUTL2 Chr:17q22-q23,1478,210657_s_at,G4
11,COL1A1 Chr:17q21.3-q22.1,397,202310_s_at,G7
12,PDLIM1 Chr:10q22-q26.3,1235,208690_s_at,G7
13,NID2 Chr:14q21-q22,689,204114_at,G7
14,PCOLCE Chr:7q22,424,202465_at,G7
15,LOXL2 Chr:8p21.3-p21.2,511,202998_s_at,G7
16,COL6A3 Chr:2q37,294,201438_at,G7
17,MGP Chr:12p13.1-p12.3,394,202291_s_at,G7
18,COL5A1 Chr:9q34.2-q34.3,1604,212489_at,G7
19,COL5A1 Chr:9q34.2-q34.3,1603,212488_at,G7
12,MS4A6A Chr:11q12.1,2432,224356_x_at,G8
13,SERPINA1 Chr:14q32.1,479,202833_s_at,G8
14,ALOX5AP Chr:13q12,708,204174_at,G8
15,MS4A6A Chr:11q12.1,3165,230550_at,G8
16,SLAMF8 Chr:1q23.1,2124,219386_s_at,G8
17,CTSC Chr:11q14.1-q14.3,298,201487_at,G8
18,MS4A6A Chr:11q12.1,2150,219666_at,G8
19,FCER1G Chr:1q23,716,204232_at,G8
20,TLR1 Chr:4p14,1448,210176_at,G8
21,MSR1 Chr:8p22,1866,214770_at,G8
46,FLJ10719 Chr:15q25-q26,1657,213007_at,G6
47,KIF14 Chr:1pter-q31.3,3503,236641_at,G6
48,TTK Chr:6q13-q21,846,204822_at,G6
49,CENPF Chr:1q32-q41,1288,209172_s_at,G6
50,AF15Q14 Chr:15q14,2882,228323_at,G6
51,XTP1 Chr:5q12.1,2704,226980_at,G6
52,RACGAP1 Chr:12q13.12,2292,222077_s_at,G6
53,RAMP Chr:1q32.1-q32.2,2034,218585_s_at,G6
54,RAMP Chr:1q32.1-q32.2,2318,222680_s_at,G6
40,TSGA2 Chr:21q22.3,3107,230093_at,G5
41,FLJ23049 Chr:3q26.2,2201,220269_at,G5
42,NME5 Chr:5q31,1076,206197_at,G5
43,--- ---,3481,236325_at,G5
44,C9orf24 Chr:9p13.2,2982,229012_at,G5
45,MGC13040 Chr:11q22.2,2439,224463_s_at,G5
46,ECGF1 Chr:22q13.33,3565,238327_at,G5
47,--- ---,3691,241470_x_at,G5
23,MOBP Chr:3p21.33,1449,210193_at,G4
24,--- ---,1637,212829_at,G4
25,--- Chr:1p36.33,185,1565809_x_at,G4
26,--- ---,3573,238498_at,G4
27,MOG Chr:6p22-p21.3,1852,214650_x_at,G4
28,MAL Chr:2cen-q13,840,204777_s_at,G4
29,--- ---,3067,229781_at,G4
30,LOC349236 Chr:9q22.2,2961,228891_at,G4
31,MOBP Chr:3p21.33,3757,242765_at,G4
32,KIAA0420 Chr:16p13.3,1447,210169_at,G4
20,COL5A1 Chr:9q34.2-q34.3,551,203325_s_at,G7
21,LAMB1 Chr:7q22,1532,211651_s_at,G7
22,SEC24D Chr:4q27,403,202375_at,G7
23,NRP1 Chr:10p12,1586,212298_at,G7
24,ADAM12 Chr:10q26.3,2678,226777_at,G7
25,ADAM12 Chr:10q26.3,503,202952_s_at,G7
26,ADAM12 Chr:10q26.3,1751,213790_at,G7
27,FBN1 Chr:15q21.1,472,202766_s_at,G7
28,SNAI2 Chr:8q11,1670,213139_at,G7
29,COL1A2 Chr:7q22.1,3001,229218_at,G7
22,FCER1G Chr:1q23,57,1554899_s_at,G8
23,ITGB2 Chr:21q22.3,477,202803_s_at,G8
24,MS4A4A Chr:11q12,72,1555728_a_at,G8
25,C1QB Chr:1p36.3-p34.1,504,202953_at,G8
26,C1QA Chr:1p36.3-p34.1,2011,218232_at,G8
27,RNASE6 Chr:14q11.2,1730,213566_at,G8
28,C1QG Chr:1p36.11,2513,225353_s_at,G8
29,PTPRC Chr:1q31-q32,1611,212588_at,G8
30,ITGB2 Chr:21q22.3,65,1555349_a_at,G8
55,NEK2 Chr:1q32.2-q41,801,204641_at,G6
56,LOC283431 Chr:12q23.3,3593,238756_at,G6
57,CDCA7 Chr:2q31,2437,224428_s_at,G6
58,TYMS Chr:18p11.32,442,202589_at,G6
59,HSPC150 Chr:1q32.1,2365,223229_at,G6
60,FOXM1 Chr:12p13,439,202580_x_at,G6
61,CKS2 Chr:9q22,707,204170_s_at,G6
62,FBXO5 Chr:6q25-q26,2066,218875_s_at,G6
63,LOC146909 Chr:17q21.31,2289,222039_at,G6
48,--- ---,3426,235658_at,G5
49,AK1 Chr:9q34.1,441,202587_s_at,G5
50,TTC18 Chr:10q22.3,2998,229170_s_at,G5
51,FLJ33620 Chr:3q26.2,43,1554298_a_at,G5
52,CGI-38 Chr:16q22.1,2067,218876_at,G5
53,HSPC065 Chr:16q13,2343,222890_at,G5
54,MNS1 Chr:15q21.2,2156,219703_at,G5
55,RFX2 Chr:19p13.3-p13.2,2692,226872_at,G5
56,CHST5 Chr:16q22.3,3854,64900_at,G5
57,HYDIN Chr:16q22.2,3325,232984_at,G5
33,KIAA1189 Chr:2q24.2,3265,231911_at,G4
34,MOBP Chr:3p21.33,1180,207659_s_at,G4
35,LOC285281 Chr:3p21.33,3699,241717_at,G4
36,MGC35308 Chr:6q27,3552,238008_at,G4
37,KIAA1173 Chr:3p21.33,2395,223572_at,G4
38,CNTNAP4 Chr:16q23.1,3300,232388_at,G4
39,KIAA1900 Chr:6q16.3,35,1553765_a_at,G4
40,MOBP Chr:3p21.33,3438,235794_at,G4
30,COL4A1 Chr:13q34,1558,211980_at,G7
31,LAMC1 Chr:1q31,220,200771_at,G7
32,COL4A1 Chr:13q34,1559,211981_at,G7
33,MGC4677 Chr:2p11.2,2557,225799_at,G7
34,COL4A2 Chr:13q34,1557,211966_at,G7
35,ENPEP Chr:4q25,851,204844_at,G7
36,ITGA1 Chr:5q11.2,2669,226731_at,G7
37,NOX4 Chr:11q14.2-q21,2166,219773_at,G7
38,ANGPT2 Chr:8p23.1,984,205572_at,G7
39,ELTD1 Chr:1p33-p32,2092,219134_at,G7
31,MNDA Chr:1q22,867,204959_at,G8
32,FCGR3A Chr:1q23,663,204007_at,G8
33,LAPTM5 Chr:1p34,323,201721_s_at,G8
34,Z39IG Chr:xq12-q13.3,844,204787_at,G8
35,TYROBP Chr:19q13.1,692,204122_at,G8
36,CTSS Chr:1q21,490,202901_x_at,G8
37,RNASE2 Chr:14q24-q31,1063,206111_at,G8
38,MGC24133 Chr:1p13.2,2915,228532_at,G8
39,GPR65 Chr:14q31-q32.1,1842,214467_at,G8
40,FCGR3A Chr:1q23,662,204006_s_at,G8
64,MGC57827 ---,2562,225834_at,G6
65,NDE1 Chr:16p13.11,2745,227249_at,G6
66,FANCD2 Chr:3p26,3751,242560_at,G6
67,KIAA0186 Chr:20p11.21,1062,206102_at,G6
68,TRIP13 Chr:5p15.33,671,204033_at,G6
69,HMGB2 Chr:4q31,1242,208808_s_at,G6
70,E2F7 Chr:12q21.1,2843,228033_at,G6
71,HMMR Chr:5q33.2-qter,1159,207165_at,G6
58,DNALI1 Chr:1p35.1,2720,227081_at,G5
59,KIF9 Chr:3p21.31,3229,231319_x_at,G5
60,SPAG1 Chr:8q22.2,1438,210117_at,G5
61,GALNT3 Chr:2q24-q31,560,203397_s_at,G5
62,FLJ22527 Chr:2q37.3,3577,238584_at,G5
63,LOC144100 Chr:11p15.2-p15.1,2899,228450_at,G5
64,FLJ31196 Chr:17p11.2,3216,231068_at,G5
65,RPGR Chr:xp11.4,1178,207624_s_at,G5
66,LOC132671 Chr:4q12,3022,229331_at,G5
41,KIAA1155 Chr:2p13.2,2274,221868_at,G4
42,CNP Chr:17q21,128,1557943_at,G4
43,--- ---,123,1557481_a_at,G4
44,TCBA1 Chr:6q21,3719,242002_at,G4
45,RAB40B Chr:17q25.3,784,204547_at,G4
46,AK5 Chr:1p31,2337,222862_s_at,G4
47,SPOCK3 Chr:4q32.3,3394,235342_at,G4
48,GRM3 Chr:7q21.1-q21.2,1017,205814_at,G4
49,TMEM16D Chr:12q23.3,3487,236420_s_at,G4
40,CDH5 Chr:16q22.1,808,204677_at,G7
41,MYO1B Chr:2q12-q34,1596,212364_at,G7
42,PLXDC1 Chr:17q21.1,1807,214081_at,G7
43,KDELR2 Chr:7p22.2,216,200700_s_at,G7
44,ANGPT2 Chr:8p23.1,1510,211148_s_at,G7
45,COL4A2 Chr:13q34,1556,211964_at,G7
46,FLJ12847 Chr:8p23.1,3456,236034_at,G7
47,FLJ12847 Chr:8p23.1,3531,237261_at,G7
48,NID Chr:1q43,358,202007_at,G7
41,IMAP1 Chr:7q36.1,2,1552316_a_at,G8
42,HCK Chr:20q11-q12,1199,208018_s_at,G8
43,CTSS Chr:1q21,3310,232617_at,G8
44,HCLS1 Chr:3q13,505,202957_at,G8
45,CTSS Chr:1q21,491,202902_s_at,G8
46,ALOX5 Chr:10q11.2,760,204446_s_at,G8
47,TLR8 Chr:xp22,3048,229560_at,G8
48,ITGAM Chr:16p11.2,1015,205786_s_at,G8
49,SAMSN1 Chr:21q11,2205,220330_s_at,G8
72,IQGAP3 Chr:1q23.1,3039,229490_s_at,G6
73,SGOL2 Chr:2q33.2,3404,235425_at,G6
74,MCM5 Chr:22q13.1,1943,216237_s_at,G6
75,GGH Chr:8q12.2,585,203560_at,G6
76,SMC2L1 Chr:9q31.2,719,204240_s_at,G6
77,APOBEC3B Chr:22q13.1-q13.2,1115,206632_s_at,G6
78,KLHL7 Chr:7p15.3,2200,220239_at,G6
79,MYBL1 Chr:8q22,1776,213906_at,G6
80,CDC7 Chr:1p22,776,204510_at,G6
67,VEST1 Chr:8q13,3234,231380_at,G5
68,HNLF Chr:7p13,141,1558487_a_at,G5
50,TMEM10 Chr:10q23-q24,3632,239575_at,G4
51,--- ---,3710,241833_at,G4
52,SH3GL3 Chr:15q24,995,205637_s_at,G4
53,--- ---,3658,240053_x_at,G4
54,--- ---,171,1562473_at,G4
55,MAP7 Chr:6q23.2,489,202890_at,G4
56,RAPGEF5 Chr:7p15.3,811,204681_s_at,G4
57,FA2H Chr:16q23,2129,219429_at,G4
58,PPP1R14A Chr:19q13.1,2709,227006_at,G4
59,TSBF1 Chr:3q26.1,3409,235476_at,G4
49,C1QR1 Chr:20p11.22,487,202878_s_at,G7
50,FN1 Chr:2q34,1468,210495_x_at,G7
51,FN1 Chr:2q34,1948,216442_x_at,G7
52,TPM2 Chr:9p13.2-p13.1,686,204083_s_at,G7
53,LTBP2 Chr:14q24,812,204682_at,G7
54,LAMA4 Chr:6q21,381,202202_s_at,G7
55,EDNRA Chr:4q31.22,765,204464_s_at,G7
56,SERPINH1 Chr:11q13.5,1183,207714_s_at,G7
57,FN1 Chr:2q34,1541,211719_x_at,G7
58,FN1 Chr:2q34,1600,212464_s_at,G7
50,FYB Chr:5p13.1,2748,227266_s_at,G8
51,CLECSF12 Chr:12p13.2-p12.3,2256,221698_s_at,G8
52,CD53 Chr:1p13,566,203416_at,G8
53,LILRB1 Chr:19q13.4,3088,229937_x_at,G8
54,FCGR1A Chr:1q21.2-q21.3,1958,216950_s_at,G8
55,TNFSF13 Chr:17p13.1,1460,210314_x_at,G8
56,SIGLEC10 Chr:19q13.3,22,1552807_a_at,G8
57,SYK Chr:9q22,2583,226068_at,G8
58,DOCK8 Chr:9p24.3,2524,225502_at,G8
81,--- ---,2756,227350_at,G6
82,HIST1H4C Chr:6p21.3,1038,205967_at,G6
83,CHEK1 Chr:11q24-q24,941,205394_at,G6
84,KLIP1 Chr:4q35.1,3018,229305_at,G6
60,SLCO1A2 Chr:12p12,1166,207308_at,G4
59,LXN Chr:3q25.32,2049,218729_at,G7
60,CTHRC1 Chr:8q22.3,2543,225681_at,G7
61,--- ---,2949,228776_at,G7
62,--- ---,2613,226311_at,G7
63,COL3A1 Chr:2q31,3304,232458_at,G7
64,VWF Chr:12p13.3,371,202112_at,G7
65,LOC116441 Chr:3q24,3103,230061_at,G7
66,SRPUL Chr:xq21.33-q23,967,205499_at,G7
59,RNASET2 Chr:6q27,1997,217983_s_at,G8
60,CSF1R Chr:5q33-q35,517,203104_at,G8
61,DOCK8 Chr:9p24.3,3319,232843_s_at,G8
62,FCGR1A Chr:1q21.2-q21.3,1844,214511_x_at,G8
63,ZNFN1A1 Chr:7p13-p11.1,2755,227346_at,G8
64,HLA-DMA Chr:6p21.3,1974,217478_s_at,G8
65,HLA-DRB1 Chr:6p21.3,1315,209312_x_at,G8
66,HLA-DRA Chr:6p21.3,1499,210982_s_at,G8
67,HLA-DRB3 Chr:6p21.3,1900,215193_x_at,G8
1,VSNL1 Chr:2p24.3,622,203798_s_at,G3
67,FMOD Chr:1q32,461,202709_at,G7
68,DKFZp564I1922 Chr:xp22.33,1353,209596_at,G7
69,COL13A1 Chr:10q22,1516,211343_s_at,G7
70,FAM20A Chr:17q24.3,2679,226804_at,G7
71,FAM20A Chr:17q24.3,3717,241981_at,G7
72,KDELR3 Chr:22q13.1,666,204017_at,G7
73,COL6A2 Chr:21q22.3,1281,209156_s_at,G7
74,ETS1 Chr:11q23.3,2464,224833_at,G7
75,IGFBP6 Chr:12q13,631,203851_at,G7
68,HLA-DRB3 Chr:6p21.3,1215,208306_x_at,G8
69,HLA-DRA Chr:6p21.3,1248,208894_at,G8
70,HLA-DRB3 Chr:6p21.3,804,204670_x_at,G8
71,CD74 Chr:5q32,1357,209619_at,G8
72,HLA-DQB1 Chr:6p21.3,1653,212998_x_at,G8
73,HLA-DQB1 Chr:6p21.3,1533,211654_x_at,G8
74,HLA-DPA1 Chr:6p21.3,1563,211991_s_at,G8
75,MS4A7 Chr:11q12,2374,223343_at,G8
76,HLA-DPB1 Chr:6p21.3,256,201137_s_at,G8
2,FLJ14503 Chr:xp22.13,2877,228262_at,G3
3,SLC6A15 Chr:12q21.3,1092,206376_at,G3
4,CYP4X1 Chr:1p33,2808,227702_at,G3
5,GABRA5 Chr:15q11.2-q12,1106,206456_at,G3
6,--- ---,3801,243929_at,G3
7,TRHDE Chr:12q15-q21,2180,219937_at,G3
8,NY-REN-7 Chr:5q35.3,1881,214945_at,G3
9,FLJ33708 Chr:6p24.3,94,1556366_s_at,G3
10,SULT4A1 Chr:22q13.2-q13.31,2128,219425_at,G3
1,NDRG1 Chr:8q24.3,211,200632_s_at,G9
76,OLFML2B Chr:1q23.1,1667,213125_at,G7
77,--- ---,2798,227628_at,G7
77,HLA-DQB1 Chr:6p21.3,1534,211656_x_at,G8
78,HLA-DQB1 Chr:6p21.3,1393,209823_x_at,G8
79,FLJ33641 Chr:5q12.1,5,1552386_at,G8
80,HLA-DPA1 Chr:6p21.3,1727,213537_at,G8
81,HLA-DQA1 Chr:6p21.3,1617,212671_s_at,G8
11,DKFZp761H2121 Chr:10q26.13,38,1553864_at,G3
12,GABRA1 Chr:5q34-q35,1117,206678_at,G3
13,KIAA1622 Chr:14q32.2,3326,233002_at,G3
14,FLJ30834 Chr:4q27,3114,230137_at,G3
15,STYK1 Chr:12p13.31,2189,220030_at,G3
16,GAD2 Chr:10p11.23,1127,206780_at,G3
17,HCN1 Chr:5p12,93,1556351_at,G3
18,UNC13C Chr:15q21.1,86,1556095_at,G3
19,NRGN Chr:11q24,685,204081_at,G3
2,SLC2A3 Chr:12p13.3,427,202497_x_at,G9
3,RAI3 Chr:12p13-p12.3,518,203108_at,G9
4,SERPINE1 Chr:7q21.3-q22,446,202627_s_at,G9
5,IL8 Chr:4q13-q21,482,202859_x_at,G9
6,STC2 Chr:5q35.2,570,203438_at,G9
7,ADM Chr:11p15.4,492,202912_at,G9
8,HK2 Chr:2p13,496,202934_at,G9
9,VEGF Chr:6p12,1577,212171_x_at,G9
82,--- ---,2747,227265_at,G8
83,HLA-DPA1 Chr:6p21.3,1562,211990_at,G8
84,--- ---,3149,230391_at,G8
85,TLR7 Chr:xp22.3,2196,220146_at,G8
86,ADAM28 Chr:8p21.2,1042,205997_at,G8
87,GPR34 Chr:xp11.4-p11.3,2404,223620_at,G8
88,EVI2B Chr:17q11.2,1543,211742_s_at,G8
89,TAGAP Chr:6q25.3,3062,229723_at,G8
90,STAB1 Chr:3p21.31,699,204150_at,G8
91,STAB1 Chr:3p21.31,3842,38487_at,G8
20,SST Chr:3q28,1779,213921_at,G3
21,NEF3 Chr:8p21,894,205113_at,G3
22,SLC17A7 Chr:19q13,715,204229_at,G3
23,--- ---,3740,242404_at,G3
24,CREG2 Chr:2q12.1,14,1552714_at,G3
25,--- ---,3240,231489_x_at,G3
26,CCK Chr:3p22-p21.3,1021,205827_at,G3
27,GABRA1 Chr:5q34-q35,3810,244118_at,G3
10,BHLHB2 Chr:3p26,264,201169_s_at,G9
11,HIG2 Chr:7q32.2,46,1554452_a_at,G9
12,PDK1 Chr:2q31.1,2630,226452_at,G9
13,FLJ25818 Chr:17q24.1,25,1553392_at,G9
14,VEGF Chr:6p12,1471,210512_s_at,G9
15,VEGF Chr:6p12,1524,211527_x_at,G9
16,ERO1L Chr:14q22.1,2314,222646_s_at,G9
17,PGK1 Chr:xq13,219,200737_at,G9
18,HIG2 Chr:7q32.2,2026,218507_at,G9
19,ANGPTL4 Chr:19p13.3,2225,221009_s_at,G9
28,A2BP1 Chr:16p13.3,26,1553422_s_at,G3
29,--- ---,110,1557122_s_at,G3
30,MAL2 Chr:8q23,2452,224650_at,G3
31,SYT1 Chr:12cen-q21,660,203999_at,G3
32,SYN2 Chr:3p25,1454,210247_at,G3
33,--- ---,3303,232426_at,G3
34,KIAA1644 Chr:22q13,3850,52837_at,G3
35,ARPP-21 Chr:3p22.1,2207,220359_s_at,G3
36,A2BP1 Chr:16p13.3,2235,221217_s_at,G3
37,SYT1 Chr:12cen-q21,659,203998_s_at,G3
20,GBE1 Chr:3p12.3,539,203282_at,G9
21,VEGF Chr:6p12,1472,210513_s_at,G9
22,LOX Chr:5q23.2,728,204298_s_at,G9
23,--- ---,1919,215446_s_at,G9
24,ZNF395 Chr:8p21.1,2231,221123_x_at,G9
25,ZNF395 Chr:8p21.1,2361,223216_x_at,G9
26,ZNF395 Chr:8p21.1,2007,218149_s_at,G9
27,ZNF395 Chr:8p21.1,3314,232693_s_at,G9
28,KIAA0657 Chr:2q36.1,1631,212775_at,G9
1,VSNL1 Chr:2p24.3,622,203798_s_at,G10
38,DLGAP2 Chr:8p23,1452,210227_at,G3
39,UNC13C Chr:15q21.1,87,1556096_s_at,G3
40,--- ---,3166,230551_at,G3
41,--- ---,3535,237384_x_at,G3
42,PTPN5 Chr:11p15.1,3489,236456_at,G3
43,--- ---,3709,241807_x_at,G3
44,HAPIP Chr:3q21.2,994,205635_at,G3
45,RYR2 Chr:1q42.1-q43,1800,214044_at,G3
46,GABRG2 Chr:5q31.1-q33.1,193,1568612_at,G3
47,SYN2 Chr:3p25,2984,229039_at,G3
29,ADFP Chr:9p22.1-p21.3,1277,209122_at,G9
30,TREM1 Chr:6p21.1,2130,219434_at,G9
31,GPR54 Chr:19p13.3,3748,242517_at,G9
32,FLJ10134 Chr:3q12.3,2126,219410_at,G9
2,FLJ14503 Chr:xp22.13,2877,228262_at,G10
3,SLC6A15 Chr:12q21.3,1092,206376_at,G10
4,CYP4X1 Chr:1p33,2808,227702_at,G10
5,GABRA5 Chr:15q11.2-q12,1106,206456_at,G10
6,--- ---,3801,243929_at,G10
7,TRHDE Chr:12q15-q21,2180,219937_at,G10
8,NY-REN-7 Chr:5q35.3,1881,214945_at,G10
9,FLJ33708 Chr:6p24.3,94,1556366_s_at,G10
10,SULT4A1 Chr:22q13.2-q13.31,2128,219425_at,G10
